subject,session,trial,list,id,cue,target,onset
65,1,48,3,26,campus,cold,2758554.66482807
65,1,49,3,2,action,angel,2758560.16459761
65,1,50,3,73,pity,orange,2758565.6643436
65,1,51,3,5,tree,bank,2758571.16412581
65,1,52,3,28,kindness,corn,2758576.66389504
65,1,53,3,106,dream,street,2758582.16366488
65,1,54,3,78,plate,poor,2758587.66344407
65,1,55,3,93,substance,small,2758593.16318554
65,1,56,3,54,soda,horse,2758598.6629605
65,1,57,3,108,goose,sweat,2758604.16272159
65,1,58,3,88,trash,scratch,2758609.66248358
65,1,59,3,64,month,loud,2758615.16224737
65,1,60,3,43,branch,fall,2758620.66200906
65,1,61,4,62,impulse,lightning,2758846.50238902
65,1,62,4,101,navy,square,2758852.00213109
65,1,63,4,95,liver,snake,2758857.50189579
65,1,64,4,22,chase,chair,2758863.00166171
65,1,65,4,9,class,bird,2758868.50142701
65,1,66,4,116,department,tired,2758874.00119021
65,1,67,4,10,clue,blood,2758879.50095612
65,1,68,4,71,furniture,nail,2758885.00072173
65,1,69,4,52,trousers,headache,2758890.50048251
65,1,70,4,81,boom,puzzle,2758896.00025084
65,1,71,4,61,wealth,lawn,2758901.50001494
65,1,72,4,103,territory,star,2758906.99978478
65,1,73,4,45,detail,flag,2758912.49955401
65,1,74,4,18,sweetheart,butter,2758917.99933049
65,1,75,4,4,victor,answer,2758923.49907648
65,1,76,4,82,fraud,queen,2758928.99884088
65,1,77,4,63,gold,lose,2758934.4986083
65,1,78,4,87,front,scare,2758939.99837271
65,1,79,4,112,fountain,television,2758945.49814043
65,1,80,4,15,denial,bottom,2758950.99790121
65,1,81,5,30,post,cute,2759155.87247428
65,1,82,5,49,instant,frog,2759161.37224351
65,1,83,5,94,comedy,smell,2759166.87203055
65,1,84,5,32,shoe,defense,2759172.37177895
65,1,85,5,109,pirate,tail,2759177.87154034
65,1,86,5,38,revolution,drug,2759183.37130082
65,1,87,5,16,driver,breathe,2759188.87106764
65,1,88,5,48,wall,forward,2759194.37083415
65,1,89,5,40,brand,duck,2759199.87059403
65,1,90,5,68,illness,mistake,2759205.37037624
65,1,91,5,37,mate,draw,2759210.87013008
65,1,92,5,31,powder,deer,2759216.36988844
65,1,93,5,44,claim,finish,2759221.86965737
65,1,94,5,84,ashes,rain,2759227.36942389
65,1,95,5,1,coast,airplane,2759232.86918377
65,1,96,5,85,hair,rock,2759238.36895058
65,1,97,5,8,permission,belt,2759243.86871891
65,1,98,5,97,salesman,soup,2759249.3684803
65,1,99,5,91,danger,short,2759254.86824621
65,1,100,5,107,shower,student,2759260.36801453
65,1,101,6,59,wreck,land,2759468.84242472
65,1,102,6,20,unit,candle,2759474.34219757
65,1,103,6,21,appeal,card,2759479.84195956
65,1,104,6,92,strawberry,sick,2759485.34172336
65,1,105,6,100,squad,spider,2759490.84148565
65,1,106,6,89,contact,sheriff,2759496.34125458
65,1,107,6,25,moonlight,clothes,2759501.84101748
65,1,108,6,75,alarm,pizza,2759507.34078369
65,1,109,6,72,medal,nephew,2759512.8405484
65,1,110,6,69,barrel,monkey,2759518.34031521
65,1,111,6,7,style,beer,2759523.84008022
65,1,112,6,99,state,spaghetti,2759529.33984674
65,1,113,6,110,sailor,tear,2759534.83960631
65,1,114,6,34,leather,dirty,2759540.33937283
65,1,115,6,51,yard,groom,2759545.83913934
65,1,116,6,119,weed,west,2759551.33890344
65,1,117,6,79,chef,pudding,2759556.83866694
65,1,118,6,80,policeman,push,2759562.33848085
65,1,119,6,19,pump,cake,2759567.83819635
65,1,120,6,57,bluff,jeans,2759573.33791608
66,1,1,1,42,center,elephant,3108722.52300927
66,1,2,1,108,fraud,sweat,3108728.02277789
66,1,3,1,100,policeman,spider,3108733.52254743
66,1,4,1,53,memory,high,3108739.02231757
66,1,5,1,85,novel,rock,3108744.5221191
66,1,6,1,77,tree,pool,3108750.02185452
66,1,7,1,110,shoe,tear,3108755.52162376
66,1,8,1,109,unit,tail,3108761.02138786
66,1,9,1,99,salesman,spaghetti,3108766.52115352
66,1,10,1,78,concert,poor,3108772.02092391
66,1,11,1,22,brand,chair,3108777.52069646
66,1,12,1,59,revolution,land,3108783.02045754
66,1,13,1,16,writer,breathe,3108788.52024428
66,1,14,1,73,weed,orange,3108794.0200105
66,1,15,1,29,clue,cracker,3108799.51977581
66,1,16,1,50,campus,ghost,3108805.01954142
66,1,17,1,47,claim,forever,3108810.51931095
66,1,18,1,45,hook,flag,3108816.01906811
66,1,19,1,93,lieutenant,small,3108821.51885515
66,1,20,1,3,employment,animal,3108827.01861533
